date,rtgs_vol,rtgs_val,neft_vol,neft_val,aeps_vol,aeps_val,upi_vol,upi_val,imps_vol,imps_val,nach_credit_vol,nach_credit_val,nach_debit_vol,nach_debit_val,netc_vol,netc_val,bbps_vol,bbps_val,cts_vol,cts_val,credit_pos_vol,credit_pos_val,credit_ecom_vol,credit_ecom_val,debit_pos_vol,debit_pos_val,debit_ecom_vol,debit_ecom_val,ppi_pos_vol,ppi_pos_val,ppi_ecom_vol,ppi_ecom_val,credit_combined_vol,credit_combined_val,debit_combined_vol,debit_combined_val,ppi_combined_vol,ppi_combined_val,nfs_vol,nfs_val,aeps_bc_vol,aeps_bc_val,gov_sec_vol,gov_sec_val,forex_vol,forex_val,rupee_der_vol,rupee_der_val
2020-07-28,5.50977,334753.897837199,83.86316,78909.270453328,0.5900000000000001,9.14,497.54,9580.56,74.46,7873.17,150.44,4898.43,56.15,2361.99,29.04,52.76,6.42,136.02,23.92,20639.27,,,,,,,,,,,,,,,,,,,86.04,3501.95,22.34,537.75,,,,,,
2020-07-29,4.95966,457537.942683975,66.67942,74219.22925385699,0.5900000000000001,9.17,488.78,9301.61,72.92,7737.04,103.69999999999999,5285.23,11.14,1556.19,30.05,55.24,5.59,114.6,20.07,16854.78,,,,,,,,,,,,,,,,,,,86.11,3482.87,23.76,555.08,,,,,,
2020-07-30,5.46739,391342.591326422,98.58669,103059.17604651801,0.63,9.67,525.93,10592.09,80.96,8745.55,60.64,4330.4400000000005,5.46,861.61,30.78,56.95,5.92,118.07,20.99,17873.16,,,,,,,,,,,,,,,,,,,98.07,4067.45,26.59,621.1,,,,,,
2020-07-31,5.63823,461035.74352411105,155.28974,124315.977606773,0.74,11.209999999999999,550.61,12399.97,90.62,10248.32,102.89,10952.22,9.66,1229.34,31.79,56.67,5.37,106.61,19.04,16367.44,,,,,,,,,,,,,,,,,,,110.19,4872.92,28.0,653.65,,,,,,
2020-08-01,H,H,55.28795,20114.022612628,0.5700000000000001,8.52,554.43,10981.35,84.69,8404.61,H,H,H,H,29.42,53.14,5.08,85.18,H,H,,,,,,,,,,,,,,,,,,,104.29,4612.22,23.41,583.7,,,,,,
2020-08-02,H,H,10.98714,3078.985220789,0.5,6.68,501.86,8082.04,65.67,5347.97,H,H,H,H,25.19,47.91,4.27,64.88,H,H,,,,,,,,,,,,,,,,,,,82.4,3270.73,21.5,484.97,,,,,,
2020-08-03,4.08792,319623.962599745,137.34427,84243.915374151,0.4,6.109999999999999,508.98,9804.57,81.23,8289.47,181.6,5668.4800000000005,102.08,6137.85,27.53,45.19,4.86,82.83,18.38,15322.81,,,,,,,,,,,,,,,,,,,104.45,4226.64,23.2,530.45,,,,,,
2020-08-04,5.50224,285509.576520113,111.28421,78472.78394426999,0.54,8.33,526.55,11230.53,84.43,9259.91,103.49000000000001,2487.46,43.02,3939.42,28.21,47.17,6.44,118.16,24.32,19931.51,,,,,,,,,,,,,,,,,,,99.15,4526.65,24.24,636.38,,,,,,
2020-08-05,4.81097,322914.359626662,99.20717,77829.507901911,0.56,8.6,492.26,10226.47,83.36,8887.28,90.82,3052.8700000000003,98.14,9489.02,29.28,50.44,5.89,108.56,22.85,18426.54,,,,,,,,,,,,,,,,,,,96.99,4339.99,23.94,603.33,,,,,,
2020-08-06,4.9984,336090.73866217595,103.43387,86625.32054165899,0.61,9.21,459.74,9517.22,84.6,8626.75,137.43,2481.62,21.18,2505.4,30.46,53.46,6.94,120.51,23.08,18415.83,,,,,,,,,,,,,,,,,,,104.16,4629.47,25.95,644.11,,,,,,
2020-08-07,5.69707,316649.381297539,132.89252,93507.61433781301,0.5700000000000001,8.469999999999999,504.21,10464.83,86.54,9085.15,82.02,3806.8900000000003,58.39,3934.76,32.12,56.37,6.98,120.8,23.64,18666.74,,,,,,,,,,,,,,,,,,,111.16,4913.26,26.86,652.3,,,,,,
2020-08-08,H,H,16.44709,8205.328062983,0.38,5.99,538.93,9938.8,77.43,7139.57,H,H,H,H,32.41,57.91,6.63,99.88,H,H,,,,,,,,,,,,,,,,,,,99.94,4293.32,18.82,454.13,,,,,,
2020-08-09,H,H,9.35194,2915.8864237049997,0.37,5.26,440.12,6578.76,59.3,4529.82,870.09,17401.91,H,H,28.05,54.17,5.79,84.65,H,H,,,,,,,,,,,,,,,,,,,73.28,2855.34,18.25,407.29,,,,,,
2020-08-10,7.03149,428330.230398654,140.46884,97391.686016094,1.04,14.69,511.87,10388.9,93.32,9889.43,136.79000000000002,3824.4599999999996,89.69,9079.45,30.39,51.76,8.33,154.24,33.12,23984.94,,,,,,,,,,,,,,,,,,,119.98,5165.17,46.31,1053.55,,,,,,
2020-08-11,4.76067,284861.412362095,91.8727,66477.693550749,0.92,12.9,578.27,11411.04,86.35,8468.22,52.8,968.03,23.42,2548.4,30.67,54.89,8.2,142.02,24.8,18302.62,,,,,,,,,,,,,,,,,,,114.06,4880.5,40.87,940.91,,,,,,
2020-08-12,3.64997,250174.71766102602,83.68097,58909.30151799301,0.87,12.32,558.47,10962.22,81.66,7844.86,56.24,2561.6,19.25,1939.61,30.27,55.01,8.21,137.3,16.76,13221.68,,,,,,,,,,,,,,,,,,,102.36,4314.02,34.09,798.42,,,,,,
